Species,Species name in GBIF,Species and authority,Category,Use,Group,Location,No. of occurrences in GBIF,Authors,Title,Journal,Volume,Pages,Ist quartile,Median,3rd quartile,Notes
Adansonia digitata ,Adansonia digitata ,Adansonia digitata L.,Health care,treating stomach and breast cancer,Medicine: Cancer,Ashanti Region,25,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1956,1956,1971,
Adenia cissampeloides,Adenia cissampeloides,Adenia cissampeloides(Planch.ex Hook.)Harms,Health care,treating lung cancer,Medicine: Cancer,Ashanti Region,56,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1994,1994,1995,
Adenia lobata,Adenia lobata,Adenia lobata (Jacq.) Engl,Health care,treating breast and skin cancer,Medicine: Cancer,Ashanti Region,81,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1963,1994,1994,
Adiantum L.,Adiantum vogelii,Adiantum veneris-capillus L.,Health care,treating wounds,Medicine: Wound healing,Volta Region,200,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,NA,NA,NA,The species name did not appear in GBIF search earlier because Adiatum veneris was recorded in this paper but it appeared in google as Adiantum L.
Afraegle paniculata,Afraegle paniculata,Afraegle paniculata (Shum & Thonn.) Engl.,Health care,treating malaria,Medicine: Malaria,Upper West Region,17,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1996,1996,2001,
Afraegle paniculata,Afraegle paniculata,,Health care,treating malaria,Medicine: Malaria,Upper West Region,17,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1996,1996,2001,
Aframomum melegueta,Aframomum melegueta,Aframomum melegueta K. Schum.,Health care,treating brain and stomach cancer,Medicine: Cancer,Ashanti Region,16,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1972,1972,1972,
Aframomum melegueta,Aframomum melegueta,Aframomum melegueta K.Schum.,Food and nutrition,used as as spices,Food,All regions in Ghana,16,"Freiesleben, S. H., Soelberg, J., & Jäger, A. K. (2015)",Medicinal plants used as excipients in the history in Ghanaian herbal medicine,Journal of ethnopharmacology ,174,561-568,1972,1972,1972,
Aframomum melegueta,Aframomum melegueta,Aframomum melegueta K.Schum.,Health care,used alongside other medicinal plants,Medicine: Excipients,All regions in Ghana,16,"Freiesleben, S. H., Soelberg, J., & Jäger, A. K. (2015)",Medicinal plants used as excipients in the history in Ghanaian herbal medicine,Journal of ethnopharmacology ,174,561-568,1972,1972,1972,
Aframomum melegueta,Aframomum melegueta,,Health care,used as aphrodisiac,Medicine: Infertility,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",16,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1972,1972,1973,
Aframomum melegueta,Aframomum melegueta,,Food and nutrition,used as spices,Food,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",16,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1972,1972,1973,
Aframomum melegueta ,Aframomum melegueta ,Aframomum melegueta (Roscoe) K. Schum.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,16,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Afrostyrax lepidophyllus,Afrostyrax lepidophyllus,Afrostyrax lepidophyllus Mildbr.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,53,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1952,1958,1964,
Afrostyrax lepidophyllus,Afrostyrax lepidophyllus,,Health care,for treating convulsions,Medicine: Seizure,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",53,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1952,1958,1964,
Afzelia africana,Afzelia africana,Afzelia africana Sm.,Health care,treating fever,Medicine: Fever,Upper West Region,39,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1995,1995,1995,
Afzelia africana,Afzelia africana,Afzelia africana Sm.,Agriculture,used as livestocks feed,Fodder,Upper West Region,39,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1995,1995,1995,
Afzelia africana,Afzelia africana,Afzelia africana Sm.,Energy,used as fuel wood for cooking,Fuel,Upper West Region,39,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1995,1995,1995,
Afzelia africana,Afzelia africana,Afzelia africana Sm.,Construction,used as roofing materials,Building materials,Upper West Region,39,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1995,1995,1995,
Afzelia africana,Afzelia africana,Afzelia africana Sm.,Social,used for carving artefacts,Social use,Upper West Region,39,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1995,1995,1995,
Afzelia africana,Afzelia africana,Afzelia africana Sm.,Culture,used for secret spiritual rituals,Cultural purposes,Upper West Region,39,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1995,1995,1995,
Afzelia africana,Afzelia africana,Afzelia africanaSm.,Health care,treating piles,Medicine: Infectious diseases,Brong-Ahafo Region,39,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1995,1995,1995,
Afzelia africana,Afzelia africana,Afzelia africanaSm.,Health care,treating pneumonia,Medicine: Infectious diseases,Brong-Ahafo Region,39,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1995,1995,1995,
Afzelia africana,Afzelia africana,Afzelia africana Sm.,Health care,treating malaria,Medicine: Malaria,Upper West Region,39,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1995,1995,1995,
Ageratum conyzoides,Ageratum conyzoides,,Health care,treating diarrhoea,Medicine: Gastrointestinal disorders,Brong-Ahafo Region,31,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,NA,NA,NA,Agerantum conyzoides was recorded in this paper but it appeared in GBIF as Ageratum conyzoides
Ageratum conyzoides,Ageratum conyzoides,Ageratum conyzoides L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,31,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1973,1977,2005,
Ageratum conyzoides,Ageratum conyzoides,Ageratum conyzoides (L.) L.,Health care,"treating skin, cervical, stomach, breast, lung cancer",Medicine: Cancer,Ashanti Region,31,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1973,1977,2005,
Alafia multiflora,Alafia multiflora,Alafia multiflora(Stapf) Stapf,Health care,"treating breast, brain, skin and lung cancer",Medicine: Cancer,Ashanti Region,13,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1996,1996,1996,
Albizia ferruginea,Albizia ferruginea,Albizia ferruginea (Guill. & Perr.) B,Health care,treating diarrhoea ,Medicine: Gastrointestinal disorders,Greater Accra Region,21,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1959,1977,1995,
Albizia zygia,Albizia zygia,Albizia zygia (DC.) J.F. Macbr,Health care,treating stomach upset,Medicine: Gastrointestinal disorders,Brong-Ahafo Region,59,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1956,1995,2003,
Albizia zygia,Albizia zygia,Albizia zygia (DC.) J.F. Macbr,Health care,treating sexual weakness,Medicine: Infertility,Brong-Ahafo Region,59,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1956,1995,2003,
Albizia zygia,Albizia zygia,,Health care,treating skin ulcer,Medicine: Ulcer,Brong-Ahafo Region,59,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,1956,1995,2003,
Alchornea cordifolia,Alchornea cordifolia,Alchornea cordifolia (Schum. & Thonn.) Mull. Arg,Health care,"treating dermatitis
",Medicine: Infectious diseases,Eastern Region,71,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,1933,1995,1997,
Alchornea cordifolia,Alchornea cordifolia,Alchornea cordifolia (Schum. & Thonn.) Mull. Arg,Health care,"treating herpes zoster, ringworm
",Medicine: Infectious diseases,Eastern Region,71,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,1933,1995,1997,
Alchornea cordifolia,Alchornea cordifolia,Alchornea cordifolia (Schum. & Thonn.) Mull. Arg,Health care,"treating wounds
",Medicine: Wound healing,Eastern Region,71,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,1933,1995,1997,
Alchornea cordifolia,Alchornea cordifolia,Alchornea cordifolia (Schum. & Thonn.) Mull.Arg.,Health care,treating brain and stomach cancer,Medicine: Cancer,Ashanti Region,71,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1936,1995,1997,
Alchornea cordifolia,Alchornea cordifolia,,Health care,treating wounds and infections,Medicine: Wound healing,Eastern Region,71,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1),102-111,1936,1995,1997,
Alchornea cordifolia,Alchornea cordifolia,,Health care,treating diarrhoea,Medicine: Gastrointestinal disorders,Brong-Ahafo Region,71,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,1936,1995,1997,
Alchornea cordifolia,Alchornea cordifolia,,Health care,treating skin ulcer,Medicine: Ulcer,Brong-Ahafo Region,71,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,1936,1995,1997,
Alchornea cordifolia,Alchornea cordifolia,"Alchornea cordifolia (Schum. &
Thonn.) Mull.Arg.",Health care,treating constipation,Medicine: Gastrointestinal disorders,Asanti Region,71,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1936,1995,1997,
Alchornea cordifolia,Alchornea cordifolia,"Alchornea cordifolia (Schum. &
Thonn.) Mull.Arg.",Health care,treating fever,Medicine: Fever,Asanti Region,71,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1936,1995,1997,
Alchornea cordifolia,Alchornea cordifolia,"Alchornea cordifolia (Schum. &
Thonn.) Mull.Arg.",Health care,treating malaria,Medicine: Malaria,Asanti Region,71,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1936,1995,1997,
Alchornea cordifolia,Alchornea cordifolia,"Alchornea cordifolia (Schum. &
Thonn.) Mull.Arg.",Health care,treating wounds,Medicine: Wound healing,Asanti Region,71,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1936,1995,1997,
Alchornea cordifolia,Alchornea cordifolia,"Alchornea cordifolia (Schum. &
Thonn.) Mull.Arg.",Health care,treating piles,Medicine: Gastrointestinal disorders,Asanti Region,71,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1936,1995,1997,
Alchornea cordifolia,Alchornea cordifolia,"Alchornea cordifolia (Schum. &
Thonn.) Mull.Arg.",Health care,treating malaria,Medicine: Malaria,Ashanti Region,71,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1936,1995,1997,
Allium cepa,Allium cepa,Allium cepa L.,Health care,treating blurred vision,Medicine: Eye care,Greater Accra Region,10,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Allium cepa,Allium cepa,Allium cepa L. ,Health care,treating diabetes mellitus,Medicine: Diabetes,Greater Accra Region,10,"Asase, A., & Yohonu, D. T. (2016)",Ethnobotanical study of herbal medicines for management of diabetes mellitus in Dangme west district of Southern Ghana.,Journal of Herbal Medicine ,6(4),204-209,NA,NA,NA,
Allium cepa,Allium cepa,Allium cepa L.,Health care,treating stomach and skin cancer,Medicine: Cancer,Ashanti Region,10,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Allium cepa,Allium cepa,Allium cepa L.,Health care,treating tuberculosis,Medicine: Infectious diseases,Greater Accra and Eastern Regions,10,"Nguta, J. M., Appiah-Opong, R., Nyarko, A. K., Yeboah-Manu, D., & Addo, P. G. (2015) ",Medicinal plants used to treat TB in Ghana,International journal of mycobacteriology ,4(2) ,116-123,NA,NA,NA,
Allium cepa,Allium cepa,Allium cepa L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,10,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Allium sativum,None,Allium sativum L.,Health care,treating diabetes mellitus,Medicine: Diabetes,Greater Accra Region,0,"Asase, A., & Yohonu, D. T. (2016)",Ethnobotanical study of herbal medicines for management of diabetes mellitus in Dangme west district of Southern Ghana.,Journal of Herbal Medicine ,6(4),204-209,NA,NA,NA,
Allium sativum,None,Allium sativum L.,Health care,treating convulsion,Medicine: Seizure,Upper West Region,0,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,NA,NA,NA,
Allium sativum,None,Allium sativum L.,Health care,treating tuberculosis,Medicine: Infectious diseases,Greater Accra and Eastern Regions,0,"Nguta, J. M., Appiah-Opong, R., Nyarko, A. K., Yeboah-Manu, D., & Addo, P. G. (2015) ",Medicinal plants used to treat TB in Ghana,International journal of mycobacteriology ,4(2) ,116-123,1968,2009,2010,
Allium sativum,None,Allium sativum L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,0,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Aloe vera,None,Aloe vera (L.) Burm.f.,Health care,treating ringworm and skin rashes,Medicine: Infectious diseases,Greater Accra Region,0,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Aloe vera,None,Aloe vera (L.) Burm.f.,Health care,treating diabetes mellitus,Medicine: Diabetes,Greater Accra Region,0,"Asase, A., & Yohonu, D. T. (2016)",Ethnobotanical study of herbal medicines for management of diabetes mellitus in Dangme west district of Southern Ghana.,Journal of Herbal Medicine ,6(4),204-209,NA,NA,NA,
Aloe vera,None,Aloe vera L. ,Health care,treating diabetes,Medicine: Diabetes,Greater Accra Region,0,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,NA,NA,NA,
Aloe vera,None,Aloe vera L. ,Health care,treating typhoid fever,Medicine: Fever,Greater Accra Region,0,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,NA,NA,NA,
Aloe vera,None,Aloe vera L. ,Health care,treating baldness,Medicine: Nutrient deficiencies,Greater Accra Region,0,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,NA,NA,NA,
Aloe vera,None,Aloe vera (L.) Burm.f.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,0,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Aloe vera,None,Aloe vera var. barbadensis,Health care,treating tuberculosis,Medicine: Infectious diseases,Greater Accra and Eastern Regions,0,"Nguta, J. M., Appiah-Opong, R., Nyarko, A. K., Yeboah-Manu, D., & Addo, P. G. (2015) ",Medicinal plants used to treat TB in Ghana,International journal of mycobacteriology ,4(2) ,116-123,NA,NA,NA,
Alstonia boonei,Alstonia boonei,Alstonia boonei De Wild.,Health care,treating skin rashes,Medicine: Infectious diseases,Greater Accra Region,117,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,1977,1979,1979,
Alstonia boonei,Alstonia boonei,Alstonia boonei De Wild.,Health care,treating measles,Medicine: Infectious diseases,Greater Accra Region,117,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Alstonia boonei,Alstonia boonei,Alstonia boonei De Wild.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,117,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-111,1977,1979,1979,
Alstonia boonei,Alstonia boonei,Alstonia boonei De Wild.,Health care,Cleansing of suppurating wounds and open fractures,Medicine: Wound healing,Eastern Region,117,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,1977,1979,1979,
Alstonia boonei,Alstonia boonei,Alstonia boonei De Wild.,Health care,treating malaria,Medicine: Malaria,Asanti Region,117,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1977,1979,1979,
Alstonia boonei,Alstonia boonei,Alstonia boonei De Wild.,Health care,treating shingles,Medicine: Infectious diseases,Asanti Region,117,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1977,1979,1979,
