"","species","AUC","bio16.contribution","bio4.contribution","gpw2000_30_sec.contribution","simplelc2000.contribution","bio16.permutation.importance","bio4.permutation.importance","gpw2000_30_sec.permutation.importance","simplelc2000.permutation.importance"
"21","Cola nitida",0.8016,0,32.7384,0.6193,66.6422,0,66.7233,0.3623,32.9144
"22","Combretum adenogonium",0.715,14.6014,73.7686,0.7796,10.8503,2.3579,95.8771,1.7651,0
"23","Combretum mucronatum",0.6538,1.7983,88.9152,4.1666,5.1198,5.666,94.334,0,0
"24","Crossopteryx febrifuga",0.6281,83.2326,0.2454,8.3679,8.1541,67.6448,0,13.6586,18.6967
"25","Cyathula prostrata",0.8426,1.2344,75.7371,2.8547,20.1738,6.4674,89.6838,3.8488,0
"26","Detarium microcarpum",0.7127,5.7137,36.8998,0.6085,56.7781,0,61.367,0.1357,38.4973
"27","Dioscorea dumetorum",0.6881,8.3677,34.5337,0.4559,56.6427,12.9804,60.047,0,26.9727
"28","Elaeis guineensis",0.8561,0,0.2782,1.8129,97.9089,0,16.768,10.6615,72.5704
"29","Euphorbia hirta",0.729,1.862,0,67.0474,31.0906,16.8322,0,39.2095,43.9583
"30","Ficus exasperata",0.7613,1.0574,29.6132,0,69.3294,16.8694,32.1764,0,50.9542
"31","Ficus platyphylla",0.6856,0.1214,0,0,99.8786,93.0523,0,0,6.9477
"32","Ficus sycomorus",0.8027,3.8621,69.199,0,26.9389,12.2711,87.7289,0,0
"33","Funtumia elastica",0.7955,0.2575,46.9046,0.2047,52.6332,2.3559,69.7325,2.8571,25.0545
"34","Gardenia ternifolia",0.6952,1.0413,3.1481,17.1695,78.6412,18.7727,39.5222,15.8393,25.8658
"35","Grossera vignei",0.8405,8.4108,47.8783,0,43.7109,12.8127,71.0712,0,16.1161
"36","Haematostaphis barteri",0.854,0,93.4362,5.3659,1.198,0,85.7124,8.254,6.0336
"37","Heliotropium indicum",0.7452,0,7.8327,48.3725,43.7948,0,31.0816,64.1898,4.7285
"38","Indigofera pulchra",0.7892,8.3735,0,4.7005,86.926,60.9823,0,2.2582,36.7595
"39","Jatropha gossypiifolia",0.7997,0,0,10.668,89.332,0,0,27.7164,72.2836
"40","Justicia flava",0.678,0.0658,24.1515,74.1156,1.6671,0.8059,58.8658,27.1997,13.1286
"41","Khaya anthotheca",0.7498,1.0113,15.0561,0.2656,83.6669,7.5602,9.1386,0.1747,83.1265
"42","Khaya senegalensis",0.686,0,44.3095,0,55.6905,0,82.1237,0,17.8763
"43","Landolphia owariensis",0.8051,0,96.2013,0,3.7987,0,93.549,0,6.451
"44","Lannea acida",0.7186,18.4506,5.866,11.7673,63.9162,22.2139,17.621,0.8997,59.2653
"45","Lantana camara",0.7709,3.1712,0,32.3668,64.462,1.3285,0,5.5923,93.0792
"46","Launaea taraxacifolia",0.8721,50.517,6.6331,0.0384,42.8116,33.0565,7.645,0.1692,59.1294
"47","Leucas martinicensis",0.7518,0,47.475,0,52.525,0,42.6936,0,57.3064
"48","Manihot esculenta",0.6617,0.0118,35.7084,0.7903,63.4895,0,47.8318,0,52.1682
"49","Maranthes polyandra",0.7739,14.4825,26.0217,10.9014,48.5945,2.6166,41.1349,24.9153,31.3332
"50","Mareya micrantha",0.7618,0,63.9327,0,36.0673,0,91.0205,0,8.9795
"51","Microdesmis puberula",0.7784,0.5227,63.8615,0,35.6158,2.4076,90.1182,0,7.4742
"52","Mitragyna inermis",0.7551,62.611,4.6946,0.5273,32.1671,60.0271,23.6001,0,16.3727
"53","Momordica charantia",0.8173,0,69.875,0,30.125,0,75.3325,0,24.6675
"54","Morinda lucida",0.77,1.8594,56.4831,13.6809,27.9766,10.0859,25.5349,8.3113,56.068
"55","Moringa oleifera",0.7845,0,0.6774,0,99.3226,0,66.9527,0,33.0473
"56","Nauclea latifolia",0.7244,35.6253,2.4881,3.3067,58.5799,57.4678,16.3235,0.696,25.5127
"57","Newbouldia laevis",0.805,2.2371,32.8917,0,64.8712,2.4398,64.6429,0,32.9174
"58","Ocimum americanum",0.6459,0,0,0,100,0,0,0,100
"59","Ocimum gratissimum",0.7941,1.2831,90.4376,0,8.2792,8.048,77.1716,0,14.7804
"60","Parinari excelsa",0.8661,7.5429,37.9542,0,54.5029,3.2992,68.6239,0,28.0768
"61","Parkia biglobosa",0.6964,47.2493,1.7077,18.0139,33.029,77.517,20.582,1.9011,0
"62","Paullinia pinnata",0.6698,14.9082,0,0.0863,85.0055,18.6463,0,2.1035,79.2502
"63","Pericopsis laxiflora",0.7678,19.9023,24.2798,0.6799,55.138,15.4831,61.486,0.3413,22.6897
"64","Phragmanthera capitata",0.8639,5.17,81.1125,1.3612,12.3563,12.2698,70.9719,11.0617,5.6965
"65","Piper guineense",0.8142,0,72.7875,0.0168,27.1957,0,94.4345,0.1157,5.4498
"66","Pseudocedrela kotschyi",0.7598,30.9892,23.0541,41.1324,4.8242,51.9979,15.1358,32.8663,0
"67","Pterocarpus erinaceus",0.6851,35.533,15.9073,6.6295,41.9303,53.3788,38.1411,2.2305,6.2496
"68","Pterygota macrocarpa",0.816,4.9945,15.7125,0.0183,79.2748,14.6493,31.1233,0,54.2275
"69","Pycnanthus angolensis",0.843,6.3841,18.1515,1.1354,74.329,1.3209,48.2326,3.6683,46.7782
"70","Rauvolfia vomitoria",0.8123,0.9041,59.8029,2.8593,36.4336,0.8661,93.8794,2.9564,2.2982
"71","Sarcophrynium brachystachys",0.7795,0,79.6717,0.4909,19.8374,0,71.6981,6.1337,22.1682
"72","Secamone afzelii",0.8009,3.5966,75.3558,4.364,16.6837,6.5222,85.5572,4.256,3.6646
"73","Senna occidentalis",0.7203,0,5.4818,14.9053,79.6129,0,63.2231,13.7866,22.9902
"74","Senna siamea",0.7029,25.3231,0,8.8552,65.8217,66.6667,0,8.2753,25.0581
"75","Sida cordifolia",0.6907,0,0,6.2856,93.7144,0,0,9.6401,90.3599
"76","Solanum torvum",0.8217,8.968,43.2947,23.1004,24.6369,15.8461,58.6596,12.691,12.8033
"77","Spathodea campanulata",0.8038,36.9543,8.8276,0,54.2181,38.1657,39.9731,0,21.8612
"78","Sterculia setigera",0.7114,4.6807,21.6042,16.9656,56.7495,8.2299,43.0144,25.1701,23.5855
"79","Strychnos innocua",0.8441,0,99.2689,0,0.7311,0,100,0,0
"80","Strychnos spinosa",0.664,7.8085,63.5603,3.8361,24.7952,30.5877,64.4488,2.1564,2.8072
"81","Tamarindus indica",0.7403,0,50.3265,0,49.6735,0,0,0,100
"82","Terminalia ivorensis",0.8181,0,41.5545,20.1196,38.3259,0,76.5357,17.6954,5.7689
"83","Terminalia leiocarpa",0.7285,42.386,0.5848,18.9848,38.0443,39.7119,40.9515,0,19.3365
"84","Tetrapleura tetraptera",0.7962,10.1342,9.4078,0,80.458,8.7052,26.9887,0,64.306
"85","Thaumatococcus daniellii",0.816,0.2686,57.8267,0.3065,41.5982,0.7773,91.3665,0.0501,7.8061
"86","Theobroma cacao",0.7511,0,80.8596,0,19.1404,0,88.2364,0,11.7636
"87","Trema orientalis",0.6632,11.5542,9.5362,16.5298,62.3797,17.8502,0,3.5653,78.5844
"88","Tridax procumbens",0.7065,0,0,0,100,46.8125,0,0,53.1875
"89","Uapaca guineensis",0.8364,9.16,83.7857,6.5324,0.522,8.4766,78.7358,12.7876,0
"90","Xeroderris stuhlmannii",0.8443,0,99.1724,0,0.8276,0,96.8007,0,3.1993
