"","species","AUC","bio16.contribution","bio4.contribution","gpw2000_30_sec.contribution","simplelc2000.contribution","bio16.permutation.importance","bio4.permutation.importance","gpw2000_30_sec.permutation.importance","simplelc2000.permutation.importance"
"47","Dioscorea bulbifera",0.682,7.5099,0.2758,0,92.2143,27.0984,0,0,72.9016
"48","Dioscorea cayenensis",0.608,20.612,1.7786,0,77.6094,45.7647,11.5769,0,42.6584
"49","Dioscorea dumetorum",0.6881,8.3677,34.5337,0.4559,56.6427,12.9804,60.047,0,26.9727
"50","Duvernoia extensa",0.7859,0.1432,99.6106,0.013,0.2332,2.6458,94.7871,0,2.5672
"51","Elaeis guineensis",0.8561,0,0.2782,1.8129,97.9089,0,16.768,10.6615,72.5704
"52","Entada abyssinica",0.7033,88.6626,1.7926,9.5448,0,86.8863,0.7122,12.4015,0
"53","Entandrophragma angolense",0.7618,0.4088,42.7804,0.6846,56.1262,0.9219,66.5472,14.1625,18.3684
"54","Entandrophragma cylindricum",0.7898,0,25.1634,0.0728,74.7637,0,61.8224,0.1076,38.0699
"55","Eremospatha macrocarpa",0.9171,21.4816,17.7152,0.0402,60.7631,10.8008,54.4567,0.3811,34.3614
"56","Erythrina senegalensis",0.6879,4.1248,85.9054,9.6233,0.3466,10.8844,81.9919,7.1237,0
"57","Ethulia conyzoides",0.5413,0,0,0,100,0,0,0,0
"58","Euphorbia heterophylla",0.7284,0,78.9547,0,21.0453,0,62.9162,0,37.0838
"59","Euphorbia hirta",0.729,1.862,0,67.0474,31.0906,16.8322,0,39.2095,43.9583
"60","Ficus asperifolia",0.6668,0,9e-04,1.0867,98.9124,0,0,1.209,98.791
"61","Ficus exasperata",0.7613,1.0574,29.6132,0,69.3294,16.8694,32.1764,0,50.9542
"62","Ficus natalensis",0.7671,0,48.7262,0,51.2738,0,100,0,0
"63","Funtumia elastica",0.7955,0.2575,46.9046,0.2047,52.6332,2.3559,69.7325,2.8571,25.0545
"64","Garcinia kola",0.7847,0,82.2634,0,17.7366,0,81.9675,0,18.0325
"65","Glyphaea brevis",0.8017,2.7269,41.449,1.1974,54.6267,6.6176,63.7592,2.5422,27.0809
"66","Griffonia simplicifolia",0.8122,1.2044,21.8441,15.8951,61.0564,7.5433,9.5812,18.2166,64.6589
"67","Gymnosporia senegalensis",0.7057,5.3481,93.9655,0.0804,0.606,0,100,0,0
"68","Heliotropium indicum",0.7452,0,7.8327,48.3725,43.7948,0,31.0816,64.1898,4.7285
"69","Holarrhena floribunda",0.7907,29.7078,44.6555,10.7638,14.873,15.6846,65.7272,4.4636,14.1246
"70","Hoslundia opposita",0.7409,0,23.2404,31.5916,45.168,0,39.1118,30.7796,30.1086
"71","Jatropha gossypiifolia",0.7997,0,0,10.668,89.332,0,0,27.7164,72.2836
"72","Khaya anthotheca",0.7498,1.0113,15.0561,0.2656,83.6669,7.5602,9.1386,0.1747,83.1265
"73","Khaya senegalensis",0.686,0,44.3095,0,55.6905,0,82.1237,0,17.8763
"74","Kigelia africana",0.7658,1.5556,0,0,98.4444,12.3162,0,0,87.6838
"75","Landolphia owariensis",0.8051,0,96.2013,0,3.7987,0,93.549,0,6.451
"76","Mallotus oppositifolius",0.751,10.3566,30.8835,9.3355,49.4244,31.7114,31.999,7.3106,28.9789
"77","Mammea africana",0.799,0,46.5731,0,53.4269,0,44.1401,0,55.8599
"78","Manihot esculenta",0.6617,0.0118,35.7084,0.7903,63.4895,0,47.8318,0,52.1682
"79","Mansonia altissima",0.8223,11.3207,13.697,0.6375,74.3448,4.958,48.5395,1.4393,45.0632
"80","Mesosphaerum pectinatum",0.7415,18.8192,0.1102,0,81.0705,29.0389,2.0728,0,68.8883
"81","Microdesmis puberula",0.7784,0.5227,63.8615,0,35.6158,2.4076,90.1182,0,7.4742
"82","Milicia excelsa",0.7506,2.3728,85.4161,2.64,9.571,5.864,85.8585,3.4413,4.8362
"83","Milicia regia",0.8429,0,85.06,0.6268,14.3132,0,86.3753,9.9766,3.6481
"84","Momordica charantia",0.8173,0,69.875,0,30.125,0,75.3325,0,24.6675
"85","Newbouldia laevis",0.805,2.2371,32.8917,0,64.8712,2.4398,64.6429,0,32.9174
"86","Ocimum gratissimum",0.7941,1.2831,90.4376,0,8.2792,8.048,77.1716,0,14.7804
"87","Oncoba spinosa",0.7283,23.2073,19.7546,0,57.0381,6.1461,21.9772,0,71.8767
"88","Parkia biglobosa",0.6964,47.2493,1.7077,18.0139,33.029,77.517,20.582,1.9011,0
"89","Paullinia pinnata",0.6698,14.9082,0,0.0863,85.0055,18.6463,0,2.1035,79.2502
"90","Physalis angulata",0.6574,2.8294,0,62.9646,34.206,29.7884,0,7.4913,62.7203
"91","Picralima nitida",0.7928,0,92.8687,0,7.1313,0,77.224,0,22.776
"92","Piper umbellatum",0.7516,0,9.2821,0.1109,90.6071,0,31.1153,1.9252,66.9595
"93","Pleiocarpa pycnantha",0.9086,83.1118,0,0,16.8882,68.3868,4.1934,0,27.4198
"94","Pterocarpus santalinoides",0.5704,0,0,47.5687,52.4313,0,0,0,0
"95","Pycnanthus angolensis",0.843,6.3841,18.1515,1.1354,74.329,1.3209,48.2326,3.6683,46.7782
"96","Rauvolfia vomitoria",0.8123,0.9041,59.8029,2.8593,36.4336,0.8661,93.8794,2.9564,2.2982
"97","Rourea coccinea",0.6869,0,0.4345,77.1424,22.4231,0,0,100,0
"98","Saba senegalensis",0.8149,0,96.4284,0.2533,3.3184,0,99.2039,0,0.7961
"99","Scoparia dulcis",0.6486,0,0,54.137,45.863,0,0,29.4833,70.5167
"100","Sida acuta",0.6957,0,0,28.2081,71.7919,0,0,13.5531,86.4469
"101","Solanum donianum",0.8143,0,100,0,0,0,100,0,0
"102","Solanum torvum",0.8217,8.968,43.2947,23.1004,24.6369,15.8461,58.6596,12.691,12.8033
"103","Spathodea campanulata",0.8038,36.9543,8.8276,0,54.2181,38.1657,39.9731,0,21.8612
"104","Stachytarpheta indica",0.6781,0,0,29.5155,70.4845,0,0,0,100
"105","Sterculia tragacantha",0.7314,2.1508,52.5736,0.2706,45.005,2.3559,73.5979,0.3484,23.6978
"106","Strophanthus gratus",0.8483,0.6715,78.4548,0.3604,20.5133,0.2566,97.9378,0,1.8056
"107","Tabernaemontana crassa",0.9422,32.405,66.9925,0.6025,0,9.2466,88.4418,2.3116,0
"108","Talbotiella gentii",0.7435,24.816,61.2041,4.303,9.6769,16.9716,70.3961,2.5459,10.0864
"109","Terminalia ivorensis",0.8181,0,41.5545,20.1196,38.3259,0,76.5357,17.6954,5.7689
"110","Terminalia leiocarpa",0.7285,42.386,0.5848,18.9848,38.0443,39.7119,40.9515,0,19.3365
"111","Terminalia superba",0.7723,3.5373,23.6942,0,72.7686,9.2747,46.2634,0,44.4619
"112","Tiliacora funifera",0.9275,96.4803,3.5197,0,0,74.172,25.828,0,0
"113","Tridax procumbens",0.7065,0,0,0,100,46.8125,0,0,53.1875
"114","Triplochiton scleroxylon",0.792,11.8837,25.0455,0.2883,62.7825,36.3758,29.4033,0.3369,33.8841
"115","Triumfetta cordifolia",0.6819,0,100,0,0,0,100,0,0
"116","Xanthosoma sagittifolium",0.7934,3.98,77.0286,0.8253,18.1661,3.421,90.902,1.3102,4.3669
"117","Zanthoxylum zanthoxyloides",0.7126,72.8625,0,6.4399,20.6976,97.1426,0,1.5855,1.2719
"118","Zea mays",0.7273,0,48.5944,0.3743,51.0314,0,83.7937,0.231,15.9752
